Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Ilguma_new,Platuma,Platuma_new,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS
Autobusai,1G,24078231205,4166,25281740,25.28174,54695643,54.695643,32,354,725,77,44491,KWZD,A>B,Santariškės,A1G-18-1-250425-ab-1210
Autobusai,1G,24078241151,4171,25277252,25.277252,54684710,54.68471,5,48,711,-107,44499,KWZD,B>A,Stotis,A1G-19-1-250425-ba-1150
Autobusai,53,24078251137,4596,25245980,25.24598,54735560,54.73556,16,288,697,-1,44499,KWNZD,B>A,Fabijoniškės,A53-01-1-250425-ab-1240
Autobusai,53,24078271146,4582,25257344,25.257344,54711473,54.711473,20,340,706,26,44493,KWNZD,B>A,Fabijoniškės,A53-03-1-250425-ba-1150
Autobusai,53,24078291205,4581,25280926,25.280926,54693162,54.693162,0,26,725,108,44495,KWNZD,B>A,Fabijoniškės,A53-05-1-250425-ba-1210
Autobusai,53,24078300538,709,25294475,25.294475,54720037,54.720037,0,186,338,,44499,Z,D>A,Fabijoniškės,A53-10-1-250425-da-0540
Autobusai,53,24078301218,4648,25253725,25.253725,54733129,54.733129,0,156,738,-7,44495,Z,A>B,Stotis,A53-10-1-250425-ab-1220
Autobusai,53,24078311223,4562,25283285,25.283285,54670752,54.670752,13,226,743,0,44499,KWZD,B>A,Fabijoniškės,A53-07-1-250425-ba-1220
Autobusai,53,24078321143,4656,25283727,25.283727,54674895,54.674895,11,208,703,-63,44500,Z,A>B,Stotis,A53-08-1-250425-ab-1140
Autobusai,53,24078331211,4575,25256712,25.256712,54714253,54.714253,0,198,731,-1,44496,WZD,A>B,Stotis,A53-12-1-250425-ab-1210
Autobusai,53,24078341213,4601,25278240,25.27824,54685136,54.685136,0,202,733,-104,44496,KWNZD,B>A,Fabijoniškės,A53-06-1-250425-ba-1210
Autobusai,53,24078351127,4589,25241453,25.241453,54739922,54.739922,0,154,687,0,44498,KWNZD,B>A,Fabijoniškės,A53-11-1-250425-ab-1230
Autobusai,53,24078361150,4554,25279807,25.279807,54688124,54.688124,0,186,710,-45,44494,KWZD,A>B,Stotis,A53-09-1-250425-ab-1150
